117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/ HTTP/1.1" 200 3974
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/authCode.do HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
117.184.186.114 - - [13/Dec/2018:02:23:23 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/ HTTP/1.1" 200 3974
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/authCode.do HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
117.184.186.114 - - [13/Dec/2018:02:23:25 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
117.184.186.114 - - [13/Dec/2018:02:23:26 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
117.184.186.114 - - [13/Dec/2018:02:23:28 +0800] "GET /gdjk/authCode.do?1544610263123 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:28 +0800] "GET /gdjk/authCode.do?1544610263707 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:28 +0800] "GET /gdjk/authCode.do?1544610263852 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:29 +0800] "GET /gdjk/authCode.do?1544610264056 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:30 +0800] "GET /gdjk/authCode.do?1544610265825 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:31 +0800] "GET /gdjk/authCode.do?1544610266309 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:31 +0800] "GET /gdjk/authCode.do?1544610266465 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:31 +0800] "GET /gdjk/authCode.do?1544610266691 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:49 +0800] "GET /gdjk/authCode.do?1544610284456 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:23:49 +0800] "GET /gdjk/authCode.do?1544610284750 HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:25:50 +0800] "GET /gdjk/ HTTP/1.1" 200 3974
117.184.186.114 - - [13/Dec/2018:02:25:50 +0800] "GET /gdjk/authCode.do HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:25:51 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
117.184.186.114 - - [13/Dec/2018:02:25:52 +0800] "GET /gdjk/ HTTP/1.1" 200 3974
117.184.186.114 - - [13/Dec/2018:02:25:52 +0800] "GET /gdjk/authCode.do HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:25:53 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
117.184.186.114 - - [13/Dec/2018:02:25:55 +0800] "GET /gdjk/ HTTP/1.1" 200 3974
117.184.186.114 - - [13/Dec/2018:02:25:55 +0800] "GET /gdjk/authCode.do HTTP/1.1" 404 949
117.184.186.114 - - [13/Dec/2018:02:25:56 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
